epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
22,2160,0.0117,0.0117,0.0193,0.0193
22,2700,0.0106,0.0106,0.0166,0.0166
22,3240,0.0071,0.0071,0.018,0.018
22,3780,0.0226,0.0226,0.0167,0.0167
22,4320,0.0104,0.0104,0.0176,0.0176
22,4860,0.0151,0.0151,0.021,0.021
23,0,0.0154,0.0154,0.0298,0.0298
23,540,0.0097,0.0097,0.0266,0.0266
23,1080,0.0155,0.0155,0.0205,0.0205
23,1620,0.0093,0.0093,0.0198,0.0198
23,2160,0.0098,0.0098,0.0261,0.0261
23,2700,0.0144,0.0144,0.0316,0.0316
23,3240,0.0095,0.0095,0.0222,0.0222
23,3780,0.0205,0.0205,0.0165,0.0165
23,4320,0.0111,0.0111,0.0163,0.0163
23,4860,0.0148,0.0148,0.0298,0.0298
24,0,0.0128,0.0128,0.0244,0.0244
24,540,0.0069,0.0069,0.0223,0.0223
24,1080,0.0168,0.0168,0.0291,0.0291
24,1620,0.0071,0.0071,0.0232,0.0232
24,2160,0.0095,0.0095,0.0238,0.0238
24,2700,0.0086,0.0086,0.0209,0.0209
24,3240,0.0062,0.0062,0.0107,0.0107
24,3780,0.0199,0.0199,0.0129,0.0129
24,4320,0.0122,0.0122,0.0159,0.0159
24,4860,0.0151,0.0151,0.0211,0.0211
25,0,0.0123,0.0123,0.0211,0.0211
25,540,0.0074,0.0074,0.0168,0.0168
25,1080,0.0145,0.0145,0.0188,0.0188
25,1620,0.0065,0.0065,0.0166,0.0166
25,2160,0.0087,0.0087,0.0257,0.0257
25,2700,0.0096,0.0096,0.0187,0.0187
25,3240,0.0072,0.0072,0.0153,0.0153
25,3780,0.0176,0.0176,0.0297,0.0297
25,4320,0.0097,0.0097,0.0199,0.0199
25,4860,0.0167,0.0167,0.0165,0.0165
26,0,0.0138,0.0138,0.029,0.029
26,540,0.0063,0.0063,0.0324,0.0324
26,1080,0.0147,0.0147,0.0205,0.0205
26,1620,0.0065,0.0065,0.02,0.02
26,2160,0.0116,0.0116,0.0246,0.0246
26,2700,0.0099,0.0099,0.0233,0.0233
26,3240,0.0109,0.0109,0.0162,0.0162
26,3780,0.0164,0.0164,0.0229,0.0229
26,4320,0.011,0.011,0.0212,0.0212
26,4860,0.0166,0.0166,0.0154,0.0154
27,0,0.0109,0.0109,0.0196,0.0196
27,540,0.0063,0.0063,0.012,0.012
27,1080,0.0111,0.0111,0.0229,0.0229
27,1620,0.0078,0.0078,0.0233,0.0233
27,2160,0.0091,0.0091,0.0173,0.0173
27,2700,0.0101,0.0101,0.0198,0.0198
27,3240,0.0069,0.0069,0.0185,0.0185
27,3780,0.0191,0.0191,0.0253,0.0253
27,4320,0.0104,0.0104,0.0217,0.0217
27,4860,0.0139,0.0139,0.0187,0.0187
28,0,0.0126,0.0126,0.0227,0.0227
28,540,0.0068,0.0068,0.0232,0.0232
28,1080,0.0141,0.0141,0.021,0.021
28,1620,0.0058,0.0058,0.021,0.021
28,2160,0.0081,0.0081,0.0195,0.0195
28,2700,0.01,0.01,0.0129,0.0129
28,3240,0.0101,0.0101,0.0203,0.0203
28,3780,0.0171,0.0171,0.0143,0.0143
28,4320,0.0088,0.0088,0.0293,0.0293
28,4860,0.015,0.015,0.0234,0.0234
29,0,0.0111,0.0111,0.0298,0.0298
29,540,0.0059,0.0059,0.0267,0.0267
29,1080,0.015,0.015,0.0237,0.0237
29,1620,0.0062,0.0062,0.0141,0.0141
29,2160,0.0106,0.0106,0.0208,0.0208
29,2700,0.0107,0.0107,0.0195,0.0195
29,3240,0.0079,0.0079,0.0167,0.0167
29,3780,0.0174,0.0174,0.027,0.027
29,4320,0.013,0.013,0.0313,0.0313
29,4860,0.0095,0.0095,0.0193,0.0193
30,0,0.0106,0.0106,0.0274,0.0274
30,540,0.0064,0.0064,0.0256,0.0256
30,1080,0.0136,0.0136,0.022,0.022
30,1620,0.0051,0.0051,0.0222,0.0222
30,2160,0.0062,0.0062,0.027,0.027
30,2700,0.0093,0.0093,0.0339,0.0339
30,3240,0.0083,0.0083,0.0359,0.0359
30,3780,0.0186,0.0186,0.0158,0.0158
30,4320,0.0179,0.0179,0.0276,0.0276
30,4860,0.0088,0.0088,0.0185,0.0185
31,0,0.012,0.012,0.0238,0.0238
31,540,0.0049,0.0049,0.0173,0.0173
31,1080,0.0125,0.0125,0.0252,0.0252
31,1620,0.0073,0.0073,0.0165,0.0165
31,2160,0.0098,0.0098,0.0199,0.0199
31,2700,0.0101,0.0101,0.017,0.017
31,3240,0.0082,0.0082,0.0138,0.0138
31,3780,0.0152,0.0152,0.0175,0.0175
31,4320,0.014,0.014,0.0246,0.0246
31,4860,0.013,0.013,0.0164,0.0164
32,0,0.0114,0.0114,0.0188,0.0188
32,540,0.006,0.006,0.0186,0.0186
32,1080,0.0114,0.0114,0.0155,0.0155
32,1620,0.0065,0.0065,0.0217,0.0217
32,2160,0.0109,0.0109,0.0371,0.0371
32,2700,0.0127,0.0127,0.0148,0.0148
32,3240,0.0073,0.0073,0.0323,0.0323
32,3780,0.0138,0.0138,0.0226,0.0226
32,4320,0.014,0.014,0.0239,0.0239
32,4860,0.0156,0.0156,0.0199,0.0199
33,0,0.0115,0.0115,0.0177,0.0177
33,540,0.005,0.005,0.013,0.013
33,1080,0.0095,0.0095,0.0168,0.0168
33,1620,0.0036,0.0036,0.0196,0.0196
33,2160,0.0085,0.0085,0.0202,0.0202
33,2700,0.0101,0.0101,0.025,0.025
33,3240,0.0077,0.0077,0.0237,0.0237
33,3780,0.0157,0.0157,0.015,0.015
33,4320,0.0113,0.0113,0.0269,0.0269
33,4860,0.0114,0.0114,0.0132,0.0132
34,0,0.0114,0.0114,0.0316,0.0316
34,540,0.0049,0.0049,0.0175,0.0175
34,1080,0.0109,0.0109,0.0165,0.0165
34,1620,0.0068,0.0068,0.0191,0.0191
34,2160,0.0061,0.0061,0.0179,0.0179
34,2700,0.011,0.011,0.0209,0.0209
34,3240,0.0073,0.0073,0.0226,0.0226
34,3780,0.0167,0.0167,0.0193,0.0193
34,4320,0.0137,0.0137,0.0278,0.0278
34,4860,0.0117,0.0117,0.0215,0.0215
35,0,0.0097,0.0097,0.0162,0.0162
35,540,0.007,0.007,0.0283,0.0283
35,1080,0.0103,0.0103,0.0162,0.0162
35,1620,0.0058,0.0058,0.021,0.021
35,2160,0.0088,0.0088,0.0199,0.0199
35,2700,0.0123,0.0123,0.0206,0.0206
35,3240,0.0068,0.0068,0.016,0.016
35,3780,0.015,0.015,0.0231,0.0231
35,4320,0.0123,0.0123,0.0212,0.0212
35,4860,0.0113,0.0113,0.017,0.017
36,0,0.0103,0.0103,0.0177,0.0177
36,540,0.0059,0.0059,0.0332,0.0332
36,1080,0.0096,0.0096,0.0181,0.0181
