epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
23,1080,0.1124,0.1124,0.091,0.091
23,1620,0.1017,0.1017,0.1022,0.1022
23,2160,0.0961,0.0961,0.0899,0.0899
23,2700,0.0698,0.0698,0.1183,0.1183
23,3240,0.0676,0.0676,0.0931,0.0931
23,3780,0.0966,0.0966,0.0804,0.0804
23,4320,0.1131,0.1131,0.0885,0.0885
23,4860,0.0949,0.0949,0.0749,0.0749
24,0,0.1137,0.1137,0.11,0.11
24,540,0.0708,0.0708,0.0875,0.0875
24,1080,0.1268,0.1268,0.0913,0.0913
24,1620,0.0832,0.0832,0.1181,0.1181
24,2160,0.0966,0.0966,0.1075,0.1075
24,2700,0.0739,0.0739,0.0786,0.0786
24,3240,0.0673,0.0673,0.092,0.092
24,3780,0.0959,0.0959,0.0948,0.0948
24,4320,0.0869,0.0869,0.1237,0.1237
24,4860,0.0885,0.0885,0.1114,0.1114
25,0,0.1226,0.1226,0.0882,0.0882
25,540,0.0632,0.0632,0.0981,0.0981
25,1080,0.1076,0.1076,0.1177,0.1177
25,1620,0.0849,0.0849,0.0928,0.0928
25,2160,0.0964,0.0964,0.1179,0.1179
25,2700,0.0656,0.0656,0.0698,0.0698
25,3240,0.0665,0.0665,0.1167,0.1167
25,3780,0.091,0.091,0.0924,0.0924
25,4320,0.09,0.09,0.0785,0.0785
25,4860,0.0875,0.0875,0.0968,0.0968
26,0,0.1106,0.1106,0.0969,0.0969
26,540,0.0646,0.0646,0.0896,0.0896
26,1080,0.1237,0.1237,0.0882,0.0882
26,1620,0.0838,0.0838,0.0722,0.0722
26,2160,0.1016,0.1016,0.1025,0.1025
26,2700,0.0701,0.0701,0.0944,0.0944
26,3240,0.0616,0.0616,0.1047,0.1047
26,3780,0.0935,0.0935,0.0919,0.0919
26,4320,0.0848,0.0848,0.0926,0.0926
26,4860,0.0862,0.0862,0.094,0.094
27,0,0.1132,0.1132,0.104,0.104
27,540,0.0795,0.0795,0.0857,0.0857
27,1080,0.1161,0.1161,0.0765,0.0765
27,1620,0.0823,0.0823,0.0834,0.0834
27,2160,0.0889,0.0889,0.1026,0.1026
27,2700,0.0671,0.0671,0.0843,0.0843
27,3240,0.0608,0.0608,0.101,0.101
27,3780,0.0908,0.0908,0.0933,0.0933
27,4320,0.1052,0.1052,0.0879,0.0879
27,4860,0.0895,0.0895,0.0827,0.0827
28,0,0.1089,0.1089,0.1004,0.1004
28,540,0.0643,0.0643,0.078,0.078
28,1080,0.113,0.113,0.1038,0.1038
28,1620,0.0863,0.0863,0.065,0.065
28,2160,0.0884,0.0884,0.0894,0.0894
28,2700,0.0905,0.0905,0.103,0.103
28,3240,0.0616,0.0616,0.0781,0.0781
28,3780,0.087,0.087,0.1227,0.1227
28,4320,0.0953,0.0953,0.1277,0.1277
28,4860,0.0835,0.0835,0.0669,0.0669
29,0,0.111,0.111,0.0876,0.0876
29,540,0.085,0.085,0.0988,0.0988
29,1080,0.1503,0.1503,0.0869,0.0869
29,1620,0.085,0.085,0.0865,0.0865
29,2160,0.0914,0.0914,0.1372,0.1372
29,2700,0.0861,0.0861,0.0743,0.0743
29,3240,0.058,0.058,0.0922,0.0922
29,3780,0.0902,0.0902,0.11,0.11
29,4320,0.0912,0.0912,0.098,0.098
